site_code,plot_id,transect,abund,genus_species
OCDA_FL1D,OCDA_FL1D_P3,3,3,Pomacentrus amboinensis
PAOR_FL1D,PAOR_FL1D_P1,1,1,Acanthochromis polyacanthus
PAOR_FL1D,PAOR_FL1D_P1,1,4,Stegastes apicalis
PAOR_FL1D,PAOR_FL1D_P1,1,3,Pomacentrus nagasakiensis
PAOR_FL1D,PAOR_FL1D_P1,1,4,Pomacentrus moluccensis
PAOR_FL1D,PAOR_FL1D_P4,4,1,Pomacentrus wardi
OCDA_FL1S,OCDA_FL1S_P4,4,33,Pomacentrus lepidogenys
OCDA_FL1S,OCDA_FL1S_P4,4,3,Pomacentrus moluccensis
OCDA_FL1S,OCDA_FL1S_P3,3,2,Pomacentrus brachialis
OCDA_FL1S,OCDA_FL1S_P3,3,2,Plectroglyphidodon leucozonus
OCDA_FL1S,OCDA_FL1S_P3,3,6,Chlorurus sordidus
OCDA_FL1S,OCDA_FL1S_P3,3,5,Chlorurus sordidus
OCDA_FL1S,OCDA_FL1S_P3,3,1,Scarus frenatus
PAOR_FL1D,PAOR_FL1D_P2,2,25,Neopomacentrus azysron
PAPE_BA2S,PAPE_BA2S_P4,4,3,Pomacentrus moluccensis
PAPE_BA2S,PAPE_BA2S_P3,3,1,Chromis atripectoralis
PAPE_BA2S,PAPE_BA2S_P3,3,1,Amblyglyphidodon curacao
PAPE_BA2S,PAPE_BA2S_P3,3,7,Dascyllus reticulatus
PAPE_BA2S,PAPE_BA2S_P3,3,2,Pomacentrus spp
PAPE_BA2S,PAPE_BA2S_P2,2,2,Amblyglyphidodon curacao
PAPE_BA2S,PAPE_BA2S_P1,1,1,Dascyllus reticulatus
PAPE_BA2S,PAPE_BA2S_P1,1,1,Chrysiptera rollandi
OCDA_FL1S,OCDA_FL1S_P2,2,1,Plectroglyphidodon leucozonus
OCDA_FL1S,OCDA_FL1S_P1,1,1,Stegastes apicalis
OCDA_FL1S,OCDA_FL1S_P1,1,5,Amphiprion melanopus
PAPE_FR1D,PAPE_FR1D_P3,3,1,Acanthochromis polyacanthus
PAPE_FR1D,PAPE_FR1D_P3,3,1,Pomacentrus wardi
PAPE_FR1D,PAPE_FR1D_P2,2,1,Pomacentrus wardi
PAPE_FR1D,PAPE_FR1D_P2,2,4,Pomacentrus moluccensis
PAPE_FR1D,PAPE_FR1D_P2,2,1,Pomacentrus nagasakiensis
PAPE_FR1D,PAPE_FR1D_P1,1,1,Pomacentrus wardi
PAPE_FR1D,PAPE_FR1D_P1,1,2,Pomacentrus spp
PAPE_FR1D,PAPE_FR1D_P1,1,1,Dascyllus reticulatus
PAPE_FR1D,PAPE_FR1D_P4,4,4,Pomacentrus moluccensis
PAPE_FR1D,PAPE_FR1D_P4,4,12,Pomacentrus moluccensis
OCLB_BA1S,OCLB_BA1S_P2,2,6,Pomacentrus brachialis
OCLB_BA1S,OCLB_BA1S_P2,2,1,Pomacentrus wardi
OCLB_BA1S,OCLB_BA1S_P2,2,2,Chrysiptera rollandi
OCLB_BA1S,OCLB_BA1S_P2,2,2,Dischistodus melanotus
OCLB_BA1S,OCLB_BA1S_P2,2,1,Neoglyphidodon polyacanthus
OCLB_BA1S,OCLB_BA1S_P2,2,1,Neoglyphidodon polyacanthus
OCLB_BA1S,OCLB_BA1S_P1,1,20,Pomacentrus lepidogenys
OCLB_BA1S,OCLB_BA1S_P1,1,2,Chrysiptera rollandi
OCLB_BA1S,OCLB_BA1S_P4,4,1,Dischistodus melanotus
OCLB_BA1S,OCLB_BA1S_P3,3,1,Amblyglyphidodon curacao
PAPE_BA1S,PAPE_BA1S_P1,1,20,Pomacentrus moluccensis
PAPE_BA1S,PAPE_BA1S_P2,2,1,Acanthochromis polyacanthus
PAPE_BA1S,PAPE_BA1S_P2,2,8,Pomacanthus spp
PAPE_BA1S,PAPE_BA1S_P3,3,2,Amblyglyphidodon curacao
PAPE_BA1S,PAPE_BA1S_P3,3,1,Pomacanthus spp
OCLB_FL1S,OCLB_FL1S_P1,1,25,Pomacentrus moluccensis
OCLB_FL1S,OCLB_FL1S_P1,1,4,Pomacentrus lepidogenys
OCLB_FL1S,OCLB_FL1S_P1,1,1,Pomacentrus wardi
OCLB_FL1S,OCLB_FL1S_P1,1,1,Amblyglyphidodon curacao
OCLB_FL1S,OCLB_FL1S_P1,1,2,Amblyglyphidodon leucogaster
OCLB_FL1S,OCLB_FL1S_P1,1,1,Neoglyphidodon polyacanthus
OCLB_FL1S,OCLB_FL1S_P3,3,3,Pomacentrus lepidogenys
OCLB_FL1S,OCLB_FL1S_P3,3,1,Amblyglyphidodon leucogaster
OCLB_FL1S,OCLB_FL1S_P3,3,3,Chrysiptera rollandi
OCDA_FR1D,OCDA_FR1D_P1,1,17,Pomacentrus lepidogenys
PAPE_BA1S,PAPE_BA1S_P4,4,1,Pomacanthus spp
OCDA_FR1D,OCDA_FR1D_P2,2,9,Pomacentrus lepidogenys
OCDA_FR1D,OCDA_FR1D_P2,2,3,Chrysiptera rollandi
PAPE_BA1D,PAPE_BA1D_P4,4,5,Stegastes apicalis
PAPE_BA1D,PAPE_BA1D_P4,4,1,Pomacentrus wardi
PAPE_BA1D,PAPE_BA1D_P2,2,20,Stegastes apicalis
PAPE_BA1D,PAPE_BA1D_P2,2,12,Pomacentrus nagasakiensis
PAPE_BA1D,PAPE_BA1D_P2,2,1,Pomacentrus amboinensis
PAPE_BA1D,PAPE_BA1D_P2,2,1,Pomacentrus chrysurus
PAPE_BA1D,PAPE_BA1D_P2,2,2,Amblyglyphidodon curacao
OCDA_FR2D,OCDA_FR2D_P1,1,1,Amblyglyphidodon curacao
OCDA_FR2D,OCDA_FR2D_P1,1,8,Pomacentrus moluccensis
PAPE_BA1D,PAPE_BA1D_P3,3,2,Chrysiptera rollandi
PAPE_BA1D,PAPE_BA1D_P3,3,1,Pomacentrus chrysurus
OCDA_FR2D,OCDA_FR2D_P2,2,5,Chrysiptera rollandi
OCDA_FR2D,OCDA_FR2D_P4,4,1,Pomacentrus amboinensis
OCDA_FR2D,OCDA_FR2D_P4,4,6,Pomacentrus brachialis
OCDA_FR2S,OCDA_FR2S_P2,2,22,Chromis atripectoralis
OCDA_FR2S,OCDA_FR2S_P3,3,36,Pomacentrus lepidogenys
OCDA_FR2S,OCDA_FR2S_P3,3,2,Stegastes apicalis
OCDA_FR2S,OCDA_FR2S_P4,4,6,Pomacentrus lepidogenys
OCDA_FR2S,OCDA_FR2S_P4,4,11,Pomacentrus lepidogenys
OCDA_FR2S,OCDA_FR2S_P4,4,5,Chromis margaritifer
OCLB_FL1S,OCLB_FL1S_P4,4,3,Amblyglyphidodon curacao
OCLB_FL1S,OCLB_FL1S_P4,4,7,Abudefduf sexfasciatus
OCDA_LA1S,OCDA_LA1S_P1,1,4,Pomacentrus moluccensis
OCLB_FL1S,OCLB_FL1S_P2,2,2,Amblyglyphidodon curacao
OCDA_LA1S,OCDA_LA1S_P2,2,12,Pomacentrus moluccensis
OCDA_LA1S,OCDA_LA1S_P2,2,20,Neopomacentrus azysron
OCDA_LA1S,OCDA_LA1S_P3,3,1,Dischistodus pseudochrysopoecilus
OCDA_LA1S,OCDA_LA1S_P3,3,2,Dischistodus melanotus
OCDA_LA1S,OCDA_LA1S_P3,3,1,Dischistodus melanotus
OCDA_LA1S,OCDA_LA1S_P3,3,1,Pomacentrus moluccensis
OCDA_LA1S,OCDA_LA1S_P4,4,3,Dischistodus melanotus
OCDA_LA2S,OCDA_LA2S_P1,1,1,Amblyglyphidodon curacao
OCDA_LA2S,OCDA_LA2S_P1,1,1,Neoglyphidodon melas
OCDA_LA2S,OCDA_LA2S_P2,2,7,Dascyllus aruanus
OCDA_LA2S,OCDA_LA2S_P2,2,6,Dascyllus aruanus
OCDA_LA2S,OCDA_LA2S_P3,3,2,Dischistodus prosopotaenia
OCDA_LA2S,OCDA_LA2S_P4,4,13,Pomacentrus moluccensis
PAPE_BA1D,PAPE_BA1D_P1,1,6,Pomacentrus spp
PAPE_BA2D,PAPE_BA2D_P3,3,1,Pomacentrus nagasakiensis
PAPE_BA2D,PAPE_BA2D_P4,4,2,Pomacentrus chrysurus
PAPE_BA2D,PAPE_BA2D_P2,2,2,Pomacentrus chrysurus
PAPE_BA2D,PAPE_BA2D_P1,1,1,Pomacentrus spp
OCLB_LA1S,OCLB_LA1S_P3,3,6,Pomacentrus moluccensis
OCLB_LA1S,OCLB_LA1S_P2,2,4,Pomacentrus chrysurus
OCLB_LA1S,OCLB_LA1S_P2,2,15,Acanthochromis polyacanthus
OCLB_LA1S,OCLB_LA1S_P2,2,8,Amblyglyphidodon curacao
OCLB_LA1S,OCLB_LA1S_P2,2,100,Chromis atripectoralis
OCLB_LA1S,OCLB_LA1S_P4,4,2,Dischistodus melanotus
OCLB_LA1S,OCLB_LA1S_P4,4,3,Acanthochromis polyacanthus
OCLB_LA1S,OCLB_LA1S_P1,1,5,Chrysiptera rollandi
OCLB_LA1S,OCLB_LA1S_P1,1,15,Amblyglyphidodon curacao
OCLB_LA1S,OCLB_LA1S_P1,1,50,Chromis atripectoralis
ONLI_FL1S,ONLI_FL1S_P3,3,3,Pomacentrus imitator
ONLI_FL1S,ONLI_FL1S_P3,3,1,Canthigaster amboinensis
ONLI_FL1S,ONLI_FL1S_P4,4,3,Pomacentrus lepidogenys
ONLI_FR1S,ONLI_FR1S_P1,1,40,Neopomacentrus azysron
ONLI_FR1S,ONLI_FR1S_P2,2,1,Chaetodon citrinellus
ONLI_FR1S,ONLI_FR1S_P2,2,2,Chrysiptera rollandi
ONLI_FR1S,ONLI_FR1S_P3,3,1,Centropyge vrolikii
ONLI_FR1S,ONLI_FR1S_P3,3,4,Pomacentrus amboinensis
ONLI_FR1S,ONLI_FR1S_P4,4,1,Pomacentrus coelestis
ONLI_FR1S,ONLI_FR1S_P4,4,10,Pomacentrus lepidogenys
ONLI_FR2S,ONLI_FR2S_P1,1,7,Pomacentrus lepidogenys
ONLI_FR2S,ONLI_FR2S_P1,1,2,Pomacentrus moluccensis
ONLI_FR2S,ONLI_FR2S_P1,1,1,Pseudochromis fuscus
ONLI_FR2S,ONLI_FR2S_P2,2,8,Pomacentrus amboinensis
ONLI_FR2S,ONLI_FR2S_P3,3,12,Chromis viridis
ONLI_FR2S,ONLI_FR2S_P3,3,1,Chromis ternatensis
ONLI_FR2S,ONLI_FR2S_P3,3,1,Zebrasoma scopas
ONLI_FR2S,ONLI_FR2S_P3,3,1,Thalassoma hardwicke
ONLI_FR2S,ONLI_FR2S_P3,3,1,Thalassoma hardwicke
TSDU_LA1S,TSDU_LA1S_P3,3,1,Chrysiptera rollandi
TSDU_FR2S,TSDU_FR2S_P1,1,1,Cirrhilabrus punctatus
TSDU_FR2S,TSDU_FR2S_P3,3,5,Chrysiptera rollandi
TSDU_BA3S,TSDU_BA3S_P4,4,7,Pomacentrus amboinensis
TSDU_BA3S,TSDU_BA3S_P4,4,2,Pomacentrus moluccensis
TSDU_BA3S,TSDU_BA3S_P3,3,45,Neopomacentrus azysron
TSDU_BA3S,TSDU_BA3S_P3,3,4,Pomacentrus adelus
TSDU_BA3S,TSDU_BA3S_P3,3,8,Pomacentrus moluccensis
TSDU_BA3S,TSDU_BA3S_P2,2,4,Pomacentrus moluccensis
TSDU_BA3S,TSDU_BA3S_P1,1,24,Neopomacentrus azysron
TSDU_BA1S,TSDU_BA1S_P4,4,20,Neopomacentrus azysron
TSDU_BA1S,TSDU_BA1S_P3,3,10,Chrysiptera rollandi
TSDU_BA1S,TSDU_BA1S_P3,3,1,Pomacentrus adelus
TSDU_BA1S,TSDU_BA1S_P2,2,13,Pomacentrus moluccensis
TSDU_BA1S,TSDU_BA1S_P2,2,3,Pomacentrus wardi
TSDU_BA1S,TSDU_BA1S_P2,2,1,Halichoeres melanurus
TSDU_BA2S,TSDU_BA2S_P4,4,9,Pomacentrus moluccensis
TSDU_BA2S,TSDU_BA2S_P3,3,31,Neopomacentrus azysron
TSDU_BA2S,TSDU_BA2S_P3,3,1,Abudefduf bengalensis
TSDU_BA2S,TSDU_BA2S_P2,2,1,Pomacentrus adelus
TSDU_BA2S,TSDU_BA2S_P1,1,2,Pomacentrus imitator
TSDU_BA2S,TSDU_BA2S_P1,1,1,Coris batuensis
TSAU_FR2D,TSAU_FR2D_P4,4,5,Pomacentrus adelus
TSAU_FR2D,TSAU_FR2D_P4,4,1,Halichoeres melanurus
TSAU_FR2D,TSAU_FR2D_P2,2,10,Neopomacentrus azysron
TSAU_FR2D,TSAU_FR2D_P1,1,5,Pomacentrus amboinensis
TSAU_FR2D,TSAU_FR2D_P1,1,10,Pomacentrus brachialis
TSAU_FR2D,TSAU_FR2D_P1,1,12,Pomacentrus moluccensis
TSAU_FR2D,TSAU_FR2D_P1,1,4,Pomacentrus moluccensis
TSAU_FR1S,TSAU_FR1S_P4,4,6,Pomacentrus lepidogenys
TSAU_FR1S,TSAU_FR1S_P4,4,2,Oxycheilinus spp
TSAU_BA1S,TSAU_BA1S_P1,1,6,Pomacentrus adelus
TSAU_BA1S,TSAU_BA1S_P1,1,1,Halichoeres melanurus
TSAU_BA1S,TSAU_BA1S_P2,2,10,Chrysiptera rollandi
TSAU_FR1S,TSAU_FR1S_P3,3,10,Pomacentrus brachialis
TSAU_FR1S,TSAU_FR1S_P3,3,125,Neopomacentrus azysron
TSAU_FR1S,TSAU_FR1S_P3,3,1,Synodus spp
TSAU_BA1S,TSAU_BA1S_P3,3,1,Chrysiptera talboti
TSAU_BA1S,TSAU_BA1S_P4,4,5,Pomacentrus adelus
TSAU_BA2S,TSAU_BA2S_P1,1,8,Pomacentrus amboinensis
TSAU_BA2S,TSAU_BA2S_P1,1,1,Pomacentrus vaiuli
TSAU_FR1S,TSAU_FR1S_P2,2,3,Pomacentrus imitator
TSAU_FR1S,TSAU_FR1S_P2,2,10,Pomacentrus moluccensis
TSAU_FR1S,TSAU_FR1S_P2,2,2,Halichoeres melanurus
TSAU_BA2S,TSAU_BA2S_P2,2,25,Pomacentrus moluccensis
TSAU_BA2S,TSAU_BA2S_P2,2,70,Neopomacentrus azysron
TSAU_BA2S,TSAU_BA2S_P2,2,15,Pomacentrus brachialis
TSAU_BA2S,TSAU_BA2S_P2,2,3,Pomacentrus amboinensis
TSAU_BA2S,TSAU_BA2S_P2,2,5,Cirrhilabrus punctatus
TSAU_BA2S,TSAU_BA2S_P2,2,1,Chromis atripectoralis
TSAU_BA2S,TSAU_BA2S_P2,2,3,Pomacentrus lepidogenys
TSAU_BA2S,TSAU_BA2S_P3,3,100,Pomacentrus moluccensis
TSAU_BA2S,TSAU_BA2S_P3,3,5,Pomacentrus adelus
TSAU_BA2S,TSAU_BA2S_P3,3,1,Pomacentrus lepidogenys
TSAU_BA2S,TSAU_BA2S_P4,4,30,Pomacentrus moluccensis
TSAU_FL1S,TSAU_FL1S_P1,1,10,Pomacentrus moluccensis
TSAU_FL1S,TSAU_FL1S_P1,1,30,Pomacentrus adelus
TSAU_FL1S,TSAU_FL1S_P1,1,3,Pomacentrus amboinensis
TSMA_BA2S,TSMA_BA2S_P1,1,20,Pomacentrus moluccensis
TSMA_BA2S,TSMA_BA2S_P1,1,5,Pomacentrus brachialis
TSAU_FL1S,TSAU_FL1S_P2,2,5,Halichoeres melanurus
TSAU_FL1S,TSAU_FL1S_P3,3,2,Pomacentrus adelus
TSMA_BA2S,TSMA_BA2S_P2,2,4,Pomacentrus amboinensis
TSMA_BA2S,TSMA_BA2S_P2,2,2,Acanthochromis polyacanthus
TSAU_FL1S,TSAU_FL1S_P4,4,1,Pomacentrus adelus
TSMA_BA2S,TSMA_BA2S_P3,3,4,Pomacentrus brachialis
TSMA_BA2S,TSMA_BA2S_P3,3,10,Pomacentrus brachialis
TSMA_BA2S,TSMA_BA2S_P4,4,13,Pomacentrus moluccensis
TSAU_FR2S,TSAU_FR2S_P4,4,26,Pomacentrus moluccensis
TSAU_FR2S,TSAU_FR2S_P4,4,2,Halichoeres melanurus
TSAU_FR2S,TSAU_FR2S_P4,4,2,Amblyglyphidodon curacao
TSAU_FR2S,TSAU_FR2S_P4,4,1,Amblyglyphidodon leucogaster
TSAU_FR2S,TSAU_FR2S_P4,4,1,Amblyglyphidodon leucogaster
TSAU_FR2S,TSAU_FR2S_P1,1,8,Pomacentrus brachialis
TSAU_FR2S,TSAU_FR2S_P1,1,33,Pomacentrus brachialis
TSAU_FR2S,TSAU_FR2S_P1,1,7,Pomacentrus moluccensis
TSAU_FR2S,TSAU_FR2S_P1,1,1,Coris batuensis
TSAU_FR2S,TSAU_FR2S_P1,1,2,Chrysiptera rollandi
TSAU_FR2S,TSAU_FR2S_P3,3,9,Pomacentrus amboinensis
TSAU_FR2S,TSAU_FR2S_P3,3,2,Halichoeres melanurus
TSAU_FR2S,TSAU_FR2S_P3,3,2,Coris batuensis
TSAU_FR2S,TSAU_FR2S_P3,3,5,Cirrhilabrus punctatus
TSDU_FR1S,TSDU_FR1S_P4,4,1,Pomacentrus moluccensis
TSDU_FR1S,TSDU_FR1S_P3,3,2,Halichoeres melanurus
TSDU_FR1S,TSDU_FR1S_P1,1,1,Pomacentrus imitator
TSMA_BA1D,TSMA_BA1D_P1,1,180,Neopomacentrus azysron
TSMA_BA1D,TSMA_BA1D_P1,1,1,Halichoeres spp
TSMA_BA1D,TSMA_BA1D_P2,2,2,Halichoeres melanurus
TSMA_BA1D,TSMA_BA1D_P3,3,4,Pomacentrus amboinensis
TSMA_BA1D,TSMA_BA1D_P3,3,4,Pomacentrus brachialis
TSMA_BA1D,TSMA_BA1D_P4,4,6,Pomacentrus amboinensis
TSMA_BA1S,TSMA_BA1S_P3,3,15,Pomacentrus brachialis
TSMA_BA1S,TSMA_BA1S_P4,4,40,Pomacentrus brachialis
TSMA_BA1S,TSMA_BA1S_P4,4,7,Pomacentrus adelus
TSMA_FR1D,TSMA_FR1D_P4,4,5,Pomacentrus imitator
TSMA_FR1D,TSMA_FR1D_P3,3,16,Chrysiptera rollandi
TSMA_FR1D,TSMA_FR1D_P3,3,5,Pomacentrus imitator
TSMA_FR1D,TSMA_FR1D_P3,3,5,Pomacentrus moluccensis
TSMA_FR1D,TSMA_FR1D_P1,1,7,Pomacentrus adelus
TSMA_FR1D,TSMA_FR1D_P1,1,14,Chrysiptera rollandi
TSMA_FR1D,TSMA_FR1D_P1,1,30,Pomacentrus brachialis
TSMA_FR1D,TSMA_FR1D_P1,1,2,Halichoeres melanurus
TSMA_FR1D,TSMA_FR1D_P1,1,3,Pomacentrus moluccensis
TSMA_FR1S,TSMA_FR1S_P4,4,1,Chrysiptera rollandi
TSMA_FR1S,TSMA_FR1S_P3,3,25,Neopomacentrus azysron
TSMA_FR1S,TSMA_FR1S_P3,3,15,Pomacentrus moluccensis
TSMA_FR1S,TSMA_FR1S_P3,3,1,Neoglyphidodon melas
TSMA_FR1S,TSMA_FR1S_P2,2,7,Pomacentrus adelus
TSMA_FR2D,TSMA_FR2D_P4,4,4,Chrysiptera flavipinnis
TSMA_FR2D,TSMA_FR2D_P1,1,3,Pomacentrus brachialis
TSMA_FR2D,TSMA_FR2D_P1,1,2,Pomacentrus moluccensis
TSMA_FR2S,TSMA_FR2S_P4,4,14,Chrysiptera rollandi
TSMA_FR2S,TSMA_FR2S_P4,4,5,Halichoeres melanurus
TSMA_FR2S,TSMA_FR2S_P4,4,2,Halichoeres melanurus
TSMA_FR2S,TSMA_FR2S_P3,3,2,Halichoeres melanurus
TSMA_FR2S,TSMA_FR2S_P2,2,6,Pomacentrus brachialis
TSMA_FR2S,TSMA_FR2S_P1,1,10,Pomacentrus moluccensis
TSMA_FR2S,TSMA_FR2S_P1,1,10,Chrysiptera rollandi
TSMA_BA1S,TSMA_BA1S_P1,1,8,Pomacentrus brachialis
TSMA_BA1S,TSMA_BA1S_P1,1,2,Amblyglyphidodon curacao
TSMA_BA2D,TSMA_BA2D_P1,1,8,Pomacentrus brachialis
TSMA_BA2D,TSMA_BA2D_P2,2,3,Pomacentrus brachialis
TSMA_BA2D,TSMA_BA2D_P2,2,1,Halichoeres richmondi
TSMA_BA2D,TSMA_BA2D_P2,2,100,Neopomacentrus azysron
TSMA_BA2D,TSMA_BA2D_P2,2,2,Cirrhilabrus punctatus
TSMA_BA2D,TSMA_BA2D_P2,2,3,Cirrhilabrus punctatus
TSMA_BA2D,TSMA_BA2D_P3,3,3,Pomacentrus adelus
TSMA_BA2D,TSMA_BA2D_P4,4,1,Amblyglyphidodon leucogaster
TSMA_LA1S,TSMA_LA1S_P4,4,3,Pomacentrus brachialis
TSMA_LA1S,TSMA_LA1S_P4,4,3,Abudefduf sexfasciatus
TSMA_LA1S,TSMA_LA1S_P4,4,3,Pomacentrus wardi
TSMA_LA1S,TSMA_LA1S_P3,3,1,Amblyglyphidodon leucogaster
TSMA_LA1S,TSMA_LA1S_P3,3,3,Chrysiptera rollandi
TSMA_LA1S,TSMA_LA1S_P2,2,3,Halichoeres melanurus
TSMA_LA1S,TSMA_LA1S_P2,2,2,Pomacentrus imitator
TSMA_LA1S,TSMA_LA1S_P1,1,4,Halichoeres melanurus
TSMA_LA1S,TSMA_LA1S_P1,1,2,Halichoeres melanurus
TSMA_FL1S,TSMA_FL1S_P4,4,1,Halichoeres melanurus
TSMA_FL1S,TSMA_FL1S_P2,2,11,Pomacentrus moluccensis
TSMA_FL1S,TSMA_FL1S_P2,2,1,Dischistodus prosopotaenia
TSMA_FL1S,TSMA_FL1S_P1,1,4,Pomacentrus moluccensis
TSAU_FR2S,TSAU_FR2S_P4,4,10,Pomacentrus moluccensis
TSAU_FR2S,TSAU_FR2S_P3,3,9,Pomacentrus amboinensis
TSAU_FR2S,TSAU_FR2S_P3,3,1,Halichoeres melanurus
TSAU_FR2S,TSAU_FR2S_P2,2,6,Pomacentrus adelus
TSAU_FR2S,TSAU_FR2S_P1,1,3,Pomacentrus adelus
CBHE_FR2D,CBHE_FR2D_P4,4,1,Chrysiptera rollandi
CBHE_FR2D,CBHE_FR2D_P4,4,1,Halichoeres prosopeion
CBHE_FR2D,CBHE_FR2D_P3,3,2,Pomacentrus amboinensis
CBHE_FR2D,CBHE_FR2D_P2,2,1,Pomacentrus amboinensis
CBHE_FR2D,CBHE_FR2D_P2,2,2,Pomacentrus brachialis
CBHE_FR2D,CBHE_FR2D_P1,1,2,Pomacentrus amboinensis
CBHE_FR2D,CBHE_FR2D_P1,1,3,Pomacentrus wardi
CBHE_FR2D,CBHE_FR2D_P1,1,1,Thalassoma lunare
CBHE_BA1S,CBHE_BA1S_P2,2,1,Chrysiptera rex
