Reef,Site,Zone,Site_Type,Site_code,Plot_ID,ID_2021,ID_2022,Class_2021,Class_2022,Area_2021,Area_2022,AreaChange,Note_2021,to_use_2021,Note_2022,to_use_for_growth,Survival
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,8,20,Amil,Amil,0.017098551,0.019235224,0.002136673,"v,29",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,13,21,Amil,Amil,0.01799816,0.017712607,-2.86E-04,"v,31",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,14,6,Amil,Amil,0.022179528,0.02675021,0.004570681,"v,39",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,11,2,Pmas,Pmas,0.006180011,0.007432187,0.001252176,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,10,1,Pmas,Pmas,0.008509963,0.009369915,8.60E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,15,13,Amil,Amil,0.011618665,0.015172808,0.003554143,"v,48",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,17,22,Amil,Amil,0.012389539,0.014582627,0.002193088,"v,43",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,32,30,Acyt,Acyt,0.046101298,0.057023276,0.010921978,"v,51",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,33,33,Ahya,Ahya,0.067394823,0.067341731,-5.31E-05,"v,17",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,34,36,Ahya,Ahya,0.020783971,0.02450483,0.00372086,"v,14",yes,o,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,35,34,Atab,Ahya,0.007248941,0.007252612,3.67E-06,"v,16",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,37,28,Pmas,Pmas,0.002503482,0.00272892,0.000225437,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,0,0,Pmas,Pmas,0.01288085,0.01300492,0.00012407,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,1,1,Pmas,Pmas,0.009522741,0.008624867,-8.98E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,2,2,Pmas,Pmas,0.00750239,0.007923432,0.000421042,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,3,3,Pmas,Pmas,0.012836299,0.014098428,0.001262128,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,4,4,Pmas,Pmas,0.002332257,0.002903638,0.000571381,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,5,5,Pver,Pver,0.014398077,0.015870493,0.001472417,"v,51",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,6,6,Pmas,Pmas,0.001178294,0.001258125,7.98E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,7,7,Spis,Spis,0.010416491,0.01139823,9.82E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,8,8,Pver,Pver,0.010220183,0.011368987,0.001148804,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,9,9,Pver,Pver,0.007446828,0.00946265,0.002015822,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,10,10,Pver,Pver,0.012132821,0.012089313,-4.35E-05,"v,34",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,11,11,Pver,Pver,0.008619379,0.010146403,0.001527024,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,12,12,Pver,Pver,0.013282254,0.015205749,0.001923495,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,13,13,Pmas,Pmas,0.001664575,0.002037013,0.000372438,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,15,15,Pmas,Pmas,0.002515938,0.002590055,7.41E-05,"v,6",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,16,16,Pmas,Pmas,0.006781672,0.007697755,0.000916083,"v,2",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,17,17,Pmas,Pmas,0.00200441,0.002680252,0.000675842,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,19,20,Pmas,Pmas,0.004275114,0.004839749,5.65E-04,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,20,22,Pver,Pver,0.004520709,0.006415535,0.001894825,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,21,23,Pmas,Pmas,0.00175364,0.002278826,0.000525186,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,22,24,Pmas,Pmas,0.00570092,0.006016421,0.0003155,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,23,25,Pmas,Pmas,0.001943208,0.002584846,0.000641638,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,24,26,Pmas,Pmas,0.002670359,0.003164331,0.000493972,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,25,27,Pmas,Pmas,0.001834338,0.002306847,0.000472509,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,26,28,Pmas,Pmas,0.001302339,0.002223439,0.000921101,"v,18",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,27,29,Pmas,Pmas,0.002341046,0.002648265,0.00030722,"v,17",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,28,30,Pmas,Pmas,0.005347001,0.006020783,0.000673782,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,29,31,Pmas,Pmas,0.003270827,0.003038888,-0.000231939,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,30,32,Pmas,Pmas,0.006542812,0.00813497,0.001592158,"v,16",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,31,33,Pmas,Pmas,0.002934411,0.003815847,0.000881437,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,33,34,Pmas,Pmas,0.001399599,0.001795696,0.000396098,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,34,35,Pmas,Pmas,0.010848414,0.012577628,0.001729215,"v,10",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,35,36,Spis,Spis,0.006499997,0.007472555,0.000972558,"v,9",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,36,37,Pmas,Pmas,0.001139756,0.001196526,5.68E-05,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,37,38,Pmas,Pmas,0.001757579,0.001859773,0.000102194,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,38,39,Pver,Pver,0.005756084,0.005897579,1.41E-04,"v,15",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,39,40,Pmas,Pmas,0.006435476,0.006614204,1.79E-04,"v,20",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,40,41,Pmas,Pmas,0.002953061,0.003689731,0.00073667,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,41,42,Pver,Pver,0.006335063,0.00589518,-4.40E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,42,43,Pmas,Pmas,0.00348271,0.004486409,0.001003699,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,43,44,Pver,Pver,0.008661545,0.011244544,0.002582999,"v,49",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,44,45,Spis,Spis,0.006384627,0.007136772,0.000752145,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,46,47,Pmas,Pmas,0.00166487,0.002568339,0.000903469,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,47,48,Pmas,Pmas,0.00246435,0.002556127,9.18E-05,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,48,49,Pmas,Pmas,0.001975764,0.002236158,0.000260394,"v,19",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,49,50,Pver,Pver,0.015442474,0.016844821,0.001402346,"v,38",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,50,52,Pmas,Pmas,0.003247877,0.003590625,0.000342747,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,53,19,Pmas,Pmas,0.013565156,0.014332594,7.67E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,32,51,Pmas,Pmas,0.003396103,0.004337135,0.000941031,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,51,53,Pmas,Pmas,0.003692458,0.003532348,-0.00016011,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,52,21,Pmas,Pmas,0.006518517,0.007791827,0.00127331,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,45,46,Pmas,Pmas,0.007512903,0.007059434,-0.000453469,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,54,54,Amil,Amil,0.009151862,0.010112723,0.000960861,"v,32",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,55,55,Amil,Amil,0.0386265,0.032356369,-0.006270131,"v,31",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,56,56,Amil,Amil,0.105438578,0.036808896,-0.068629682,"v,29",yes,tipped over,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,57,57,Amil,Amil,0.009889693,0.008834914,-0.001054778,"v,39",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,58,59,Amil,Amil,0.015128687,0.018231104,0.003102418,"v,47",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,59,60,Amil,Amil,0.005836241,0.007622961,0.00178672,"v,46",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,60,58,Amil,Amil,0.016584174,0.022888556,0.006304381,"v,0",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P1,14,14,Pmas,Pmas,0.000476363,0.000489936,1.36E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,18,12,Pmas,Pmas,0.001880002,0.001955492,7.55E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,41,30,Spis,Spis,0.002523166,0.002523166,0,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,7,0,Pmas,Pmas,0.006178424,0.006489053,0.000310629,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,17,11,Pmas,Pmas,0.00856779,0.008731105,1.63E-04,"v,8",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,20,14,Pmas,Pmas,0.005475657,0.005626186,0.00015053,"v,12",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,25,19,Pmas,Pmas,0.01437113,0.01379705,-5.74E-04,"v,16,,pm",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,29,20,Pmas,Pmas,0.010277879,0.011450158,0.001172279,pm,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,32,21,Pmas,Pmas,0.007470278,0.008375041,0.000904763,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,49,35,Pmas,Pmas,0.007643765,0.007987887,0.000344122,"v,15",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,51,38,Pmas,Pmas,0.02730794,0.028199545,0.000891605,"v,13",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,50,37,Pmas,Pmas,0.016770046,0.019292398,0.002522352,"v,14",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,38,27,Pmas,Pmas,0.004889022,0.004629652,-2.59E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,24,18,Pmas,Pmas,0.006297868,0.006611897,0.000314029,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,33,22,Pmas,Pmas,0.007272724,0.007726836,0.000454112,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,14,8,Pmas,Pmas,0.009549357,0.009724372,1.75E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,15,10,Pmas,Pmas,0.028623462,0.030788792,0.00216533,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,11,3,Pmas,Pmas,0.006172162,0.006884274,0.000712113,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,13,4,Pmas,Pmas,0.005401836,0.005387243,-1.46E-05,pm,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,0,5,Pmas,Pmas,0.004092328,0.003925508,-0.00016682,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,23,17,Pmas,Pmas,0.009027312,0.008730484,-0.000296829,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,21,15,Pmas,Pmas,0.00514769,0.005382872,2.35E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,47,33,Pmas,Pmas,0.005299123,0.004814589,-4.85E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,34,23,Pmas,Pmas,0.005274361,0.005478992,0.000204631,"v,20",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,35,24,Pmas,Pmas,0.005670431,0.00557261,-9.78E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,36,25,Pmas,Pmas,0.002733673,0.003225432,0.00049176,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,1,29,Pmas,Pmas,0.001409475,0.00163922,0.000229745,"v,17",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,2,39,Pver,Pver,0.024232469,0.024234041,1.57E-06,"v,38",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,19,13,Pver,Pver,0.005683229,0.009521003,0.003837775,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,22,16,Pver,Pver,0.021740577,0.022527802,7.87E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,45,32,Pver,Pver,0.01598704,0.01649563,5.09E-04,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,39,28,Spis,Spis,0.008747129,0.011481324,0.002734195,"v,3",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,3,31,Spis,Spis,0.001337631,0.001775216,0.000437585,"v,49",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,4,36,Spis,Spis,0.003299829,0.003297477,-2.35E-06,"v,48",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,5,34,Spis,Spis,0.00451904,0.00451904,0,"v,50",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,6,1,Amil,Amil,0.144721823,0.157244077,0.012522255,"v,24",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,10,2,Pmas,Pmas,0.008438262,0.007986059,-4.52E-04,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,8,6,Amil,Amil,0.039303541,0.043093897,0.003790356,"v,22",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,16,9,Amil,Amil,0.036635997,0.049771531,0.013135534,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P2,26,40,Pdam,Pdam,0.020249704,0.021943103,0.001693399,"v,1",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,0,7,Pmas,Pmas,0.011151957,0.011151957,0,"v,0",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,3,6,Pmas,Pmas,0.009373045,0.0106721,0.001299054,"v,8",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,4,29,Amil,Amil,0.030621362,0.039748762,0.0091274,"v,37",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,5,31,Spis,Spis,0.021621822,0.02208243,4.61E-04,"v,34",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,6,37,Amil,Amil,0.076291313,0.076299145,7.83E-06,"v,31",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,2,8,Pmas,Pmas,0.016489331,0.01515835,-0.001330981,"v,12",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,7,11,Spis,Spis,0.002543055,0.002543055,0,"v,13",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,1,12,Pver,Pver,0.018153137,0.020026578,0.001873441,"v,10",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,9,23,Pver,Pver,0.0144793,0.017704224,0.003224924,"v,6",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,10,2,Pver,Pver,0.039344609,0.042055792,0.002711183,"v,40",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,11,0,Spis,Spis,0.004152279,0.004152143,-1.37E-07,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,12,13,Pver,Pver,0.007697239,0.009556352,0.001859113,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,13,19,Pmas,Pmas,0.007737145,0.007289597,-0.000447548,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,14,25,Pmas,Pmas,0.003628617,0.003561773,-6.68E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,15,24,Pmas,Pmas,0.004291394,0.004385551,9.42E-05,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,16,18,Pmas,Pmas,0.004092891,0.004095382,2.49E-06,,yes,m,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,17,17,Spis,Spis,0.001846572,0.003084228,0.001237656,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,18,10,Pmas,Pmas,0.004462516,0.004977381,0.000514865,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,19,5,Pmas,Pmas,0.001774183,0.002150763,0.00037658,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,21,15,Pmas,Pmas,0.002385764,0.002505924,0.00012016,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,22,32,Pmas,Pmas,0.001354585,0.001354582,-2.97E-09,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,25,1,Pmas,Pmas,0.005490028,0.005490028,0,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,26,21,Pver,Pver,0.010935998,0.010935998,0,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,27,3,Pmas,Pmas,0.005853756,0.0084371,0.002583344,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,28,4,Pmas,Pmas,0.001266893,0.001734427,0.000467535,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,29,27,Spis,Spis,0.003423594,0.003423594,0,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,20,16,Pmas,Pmas,0.004495509,0.004911328,0.000415819,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,24,9,Pmas,Pmas,0.003891837,0.004176858,0.000285021,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,31,28,Pdam,Pdam,0.016085167,0.016085075,-9.15E-08,"v,3",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,32,35,Pdam,Pdam,0.029163249,0.029182881,1.96E-05,"v,32",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P4,33,33,Pdam,Pdam,0.024222179,0.027194568,0.002972389,"v,38",yes,bad,no,NA
